group_key,fold,horizon_step,time,actual,forecast,model_type
london_smart_meters,1,1,2023-01-02 00:00:00,0.96611891,0.83264807,seasonal_naive_fallback
london_smart_meters,1,2,2023-01-02 01:00:00,0.98048062,0.85703680,seasonal_naive_fallback
london_smart_meters,1,3,2023-01-02 02:00:00,1.01535578,0.89585308,seasonal_naive_fallback
london_smart_meters,1,4,2023-01-02 03:00:00,1.07952374,0.95554158,seasonal_naive_fallback
london_smart_meters,1,5,2023-01-02 04:00:00,1.17613868,1.03822220,seasonal_naive_fallback
london_smart_meters,1,6,2023-01-02 05:00:00,1.29697714,1.13687299,seasonal_naive_fallback
london_smart_meters,1,7,2023-01-02 06:00:00,1.42018495,1.23341816,seasonal_naive_fallback
london_smart_meters,1,8,2023-01-02 07:00:00,1.51529246,1.30291994,seasonal_naive_fallback
london_smart_meters,1,9,2023-01-02 08:00:00,1.55513565,1.32358122,seasonal_naive_fallback
london_smart_meters,1,10,2023-01-02 09:00:00,1.52882008,1.28760598,seasonal_naive_fallback
london_smart_meters,1,11,2023-01-02 10:00:00,1.44804628,1.20641755,seasonal_naive_fallback
london_smart_meters,1,12,2023-01-02 11:00:00,1.34356465,1.10750237,seasonal_naive_fallback
london_smart_meters,1,13,2023-01-02 12:00:00,1.25562526,1.02616544,seasonal_naive_fallback
london_smart_meters,1,14,2023-01-02 13:00:00,1.22494896,0.99774736,seasonal_naive_fallback
london_smart_meters,1,15,2023-01-02 14:00:00,1.28588520,1.05173135,seasonal_naive_fallback
london_smart_meters,1,16,2023-01-02 15:00:00,1.45666267,1.20342641,seasonal_naive_fallback
london_smart_meters,1,17,2023-01-02 16:00:00,1.72319266,1.44021923,seasonal_naive_fallback
london_smart_meters,1,18,2023-01-02 17:00:00,2.02555613,1.71014160,seasonal_naive_fallback
london_smart_meters,1,19,2023-01-02 18:00:00,2.26683471,1.92945499,seasonal_naive_fallback
london_smart_meters,1,20,2023-01-02 19:00:00,2.35342214,2.01703347,seasonal_naive_fallback
london_smart_meters,1,21,2023-01-02 20:00:00,2.24621856,1.93805789,seasonal_naive_fallback
london_smart_meters,1,22,2023-01-02 21:00:00,1.98380641,1.72393775,seasonal_naive_fallback
london_smart_meters,1,23,2023-01-02 22:00:00,1.65769502,1.45147034,seasonal_naive_fallback
london_smart_meters,1,24,2023-01-02 23:00:00,1.35998351,1.19847046,seasonal_naive_fallback
london_smart_meters,2,1,2023-01-06 18:00:00,2.16789396,2.22591989,seasonal_naive_fallback
london_smart_meters,2,2,2023-01-06 19:00:00,2.24806512,2.31864392,seasonal_naive_fallback
london_smart_meters,2,3,2023-01-06 20:00:00,2.14360390,2.21991843,seasonal_naive_fallback
london_smart_meters,2,4,2023-01-06 21:00:00,1.89194170,1.96691694,seasonal_naive_fallback
london_smart_meters,2,5,2023-01-06 22:00:00,1.58104466,1.64867447,seasonal_naive_fallback
london_smart_meters,2,6,2023-01-06 23:00:00,1.29904063,1.35497685,seasonal_naive_fallback
london_smart_meters,2,7,2023-01-07 00:00:00,0.75165959,0.92559088,seasonal_naive_fallback
london_smart_meters,2,8,2023-01-07 01:00:00,0.77514042,0.93883627,seasonal_naive_fallback
london_smart_meters,2,9,2023-01-07 02:00:00,0.81824729,0.97388662,seasonal_naive_fallback
london_smart_meters,2,10,2023-01-07 03:00:00,0.88642180,1.03904414,seasonal_naive_fallback
london_smart_meters,2,11,2023-01-07 04:00:00,0.98036523,1.13693617,seasonal_naive_fallback
london_smart_meters,2,12,2023-01-07 05:00:00,1.09157018,1.25898682,seasonal_naive_fallback
