group_key,fold,horizon_step,time,actual,forecast,model_type
london_smart_meters,1,1,2023-01-02 00:00:00,0.46245671,0.48412069,prophet_tuned
london_smart_meters,1,2,2023-01-02 00:30:00,0.46686692,0.45177232,prophet_tuned
london_smart_meters,1,3,2023-01-02 01:00:00,0.47498501,0.42862645,prophet_tuned
london_smart_meters,1,4,2023-01-02 01:30:00,0.48723464,0.41309070,prophet_tuned
london_smart_meters,1,5,2023-01-02 02:00:00,0.50386696,0.40349803,prophet_tuned
london_smart_meters,1,6,2023-01-02 02:30:00,0.52491934,0.39833053,prophet_tuned
london_smart_meters,1,7,2023-01-02 03:00:00,0.55017035,0.39626272,prophet_tuned
london_smart_meters,1,8,2023-01-02 03:30:00,0.57909588,0.39604228,prophet_tuned
london_smart_meters,1,9,2023-01-02 04:00:00,0.61083616,0.39626812,prophet_tuned
london_smart_meters,1,10,2023-01-02 04:30:00,0.64418676,0.39514930,prophet_tuned
london_smart_meters,1,11,2023-01-02 05:00:00,0.67762775,0.39032745,prophet_tuned
london_smart_meters,1,12,2023-01-02 05:30:00,0.70940150,0.37882332,prophet_tuned
london_smart_meters,1,13,2023-01-02 06:00:00,0.73764216,0.35713098,prophet_tuned
london_smart_meters,1,14,2023-01-02 06:30:00,0.76054860,0.32144255,prophet_tuned
london_smart_meters,1,15,2023-01-02 07:00:00,0.77658099,0.26795330,prophet_tuned
london_smart_meters,1,16,2023-01-02 07:30:00,0.78465229,0.19317929,prophet_tuned
london_smart_meters,1,17,2023-01-02 08:00:00,0.78428178,0.09422211,prophet_tuned
london_smart_meters,1,18,2023-01-02 08:30:00,0.77568247,-0.03106546,prophet_tuned
london_smart_meters,1,19,2023-01-02 09:00:00,0.75976533,-0.18402858,prophet_tuned
london_smart_meters,1,20,2023-01-02 09:30:00,0.73806000,-0.36525915,prophet_tuned
london_smart_meters,1,21,2023-01-02 10:00:00,0.71256932,-0.57470570,prophet_tuned
london_smart_meters,1,22,2023-01-02 10:30:00,0.68558861,-0.81179840,prophet_tuned
london_smart_meters,1,23,2023-01-02 11:00:00,0.65952625,-1.07555095,prophet_tuned
london_smart_meters,1,24,2023-01-02 11:30:00,0.63675701,-1.36462320,prophet_tuned
london_smart_meters,1,25,2023-01-02 12:00:00,0.61952485,-1.67735502,prophet_tuned
london_smart_meters,1,26,2023-01-02 12:30:00,0.60989063,-2.01180518,prophet_tuned
london_smart_meters,1,27,2023-01-02 13:00:00,0.60969895,-2.36583936,prophet_tuned
london_smart_meters,1,28,2023-01-02 13:30:00,0.62052426,-2.73730496,prophet_tuned
london_smart_meters,1,29,2023-01-02 14:00:00,0.64355628,-3.12430628,prophet_tuned
london_smart_meters,1,30,2023-01-02 14:30:00,0.67940237,-3.52555925,prophet_tuned
london_smart_meters,1,31,2023-01-02 15:00:00,0.72781787,-3.94076829,prophet_tuned
london_smart_meters,1,32,2023-01-02 15:30:00,0.78741641,-4.37094151,prophet_tuned
london_smart_meters,1,33,2023-01-02 16:00:00,0.85544832,-4.81855293,prophet_tuned
london_smart_meters,1,34,2023-01-02 16:30:00,0.92774971,-5.28747667,prophet_tuned
london_smart_meters,1,35,2023-01-02 17:00:00,0.99894769,-5.78265675,prophet_tuned
london_smart_meters,1,36,2023-01-02 17:30:00,1.06295471,-6.30953002,prophet_tuned
london_smart_meters,1,37,2023-01-02 18:00:00,1.11370853,-6.87327544,prophet_tuned
london_smart_meters,1,38,2023-01-02 18:30:00,1.14603552,-7.47800894,prophet_tuned
london_smart_meters,1,39,2023-01-02 19:00:00,1.15646038,-8.12606450,prophet_tuned
london_smart_meters,1,40,2023-01-02 19:30:00,1.14377722,-8.81749557,prophet_tuned
london_smart_meters,1,41,2023-01-02 20:00:00,1.10924235,-9.54989315,prophet_tuned
london_smart_meters,1,42,2023-01-02 20:30:00,1.05633803,-10.31855830,prophet_tuned
london_smart_meters,1,43,2023-01-02 21:00:00,0.99016119,-11.11699787,prophet_tuned
